;Varianza_aX;Varianza_aY;Varianza_aZ;Kurtosis_aX;Kurtosis_aY;Kurtosis_aZ;Clase
0;3726,044444;5788,844444;25951,51111;2,391860602;-1,12969699;5,983409013;0
1;34383,37778;41120,4;200517,8333;-0,400193854;2,479466031;0,321821943;0
2;2566,055556;58729,78889;340205,5111;-0,374684721;6,44337898;0,543806358;0
3;4361,288889;39850,4;345955,3778;3,195344964;6,373848134;0,945647351;0
4;10424,84444;26601,16667;213863,7778;1,757732912;1,497723504;1,128793227;0
5;15188,1;23850,45556;402072,9;1,986555981;-0,568618457;0,83401851;0
6;13686,1;81040,1;259837,6111;1,072188996;-0,580766779;1,27983058;0
7;11226,84444;29900,98889;410550,1;0,456855742;5,512612446;0,179173304;0
8;59198,9;71310,17778;372827,3778;2,083782319;4,360771319;0,065666369;0
9;42701,28889;52620,76667;327160,8889;3,423744484;1,985883126;0,727434619;0
10;2710,622222;32502,84444;338258,0444;-0,909454681;0,500728593;-0,236080239;0
11;11000,98889;7961,122222;250689,6;0,918423848;-1,133145648;0,395082347;0
12;31026,48889;79874,05556;322055,2111;1,775152083;0,820821837;0,177814263;0
13;12544;39016,04444;191018,0111;0,990584001;1,672858746;0,841665719;0
14;2474,9;8425,555556;345583,0667;-0,814309599;5,442050506;0,062841092;0
15;21252,1;25992,71111;182389,3333;1,172827447;7,263062521;1,067994672;0
16;11011,28889;12009,78889;287008,9889;-0,674155274;0,692786576;0,511571495;0
17;8363,566667;75081,55556;261507,9556;-0,906805469;9,450513841;0,46890198;0
18;11653,21111;201140,7667;245799,4333;2,001979421;8,243710027;2,481109855;0
19;36202,62222;120434,9;188132,7667;1,76265887;0,48746223;3,277762937;0
20;25164,72222;31672;290864,9889;0,021942921;-1,653995139;1,957442432;0
21;26257,06667;44587,87778;414355,2889;-1,341090585;-0,44273329;0,850579687;0
22;5701,6;35147,82222;301720,9;3,01095766;-1,157910224;-0,369451954;0
23;25949,43333;103042,9333;311528,9889;7,501633348;3,204601843;0,283956011;0
24;13476,5;47652,94444;403780,6778;0,532446368;-0,623205282;0,958069906;0
25;35212,26667;79591,21111;359848,8889;4,60466091;6,145037159;-0,063408206;0
